Component	hasFunction
Accessory Drives	Driving power to accessories
Ignition Distribution System	Distributing ignition to cylinders
Power Section	Housing main power components
Fuel Distribution	Distributing fuel-air mixture
Cylinder Section	Containing cylinders and related parts
Cranking Section	Facilitating engine start
Electrical Power	Providing electrical power
Lubrication System	Lubricating engine components
Cooling System	Cooling engine with airflow
Induction System	Managing air-fuel mixture intake
Priming System	Assisting engine start
Oil Cooler Bypass Valve, Oil Pressure Screen And Breather Fitting	Regulating oil flow and pressure
Propeller Governor Drive Cover, Vacuum Pump Drive And Cover	Covering drives and providing housing
Oil Filter Assembly And Oil Cooler Bypass Valve	Filtering oil and controlling flow
Oil Pump Assembly And Accessory Housing Attaching Parts	Pumping oil and attaching housing
Fuel Pump Assembly And Attaching Parts	Pumping fuel and securing components
Accessory Housing Assembly	Housing accessories and drives
Magnetos, Magneto Drives, Harnesses And Spark Plugs	Distributing ignition and sparks
Crankshaft Idler Gears, Tachometer Drive And Camshaft	Driving and timing components
Crankcase Assembly	Housing main engine
Crankcase Attaching Parts	Securing crankcase components
Crankcase Related Parts	Supporting crankcase operation
Crankshaft Assembly	Converting linear to rotational motion
Carburetor Assembly	Mixing and regulating fuel-air
Cylinder Related Parts	Supporting cylinder operation
Connecting Rods, Pistons And Ring Assemblies	Transmitting motion and sealing chamber
Valve Assembly	Controlling intake and exhaust flow
Intake Pipes And Attaching Parts	Directing air-fuel mixture
Cylinder Head Drain Tubes And Intercylinder Cooling Baffles	Draining and cooling cylinders
Cylinder Assembly	Housing and supporting combustion
Starter Motor And Attaching Parts	Initiating engine start
Alternator Mounting And Attaching Parts	Securing and supporting alternator
Oil Sump Assembly And Oil Suction Screen	Collecting and screening oil
Oil Level Gage	Measuring oil quantity