subFunctionOf	Function
Core Engine Operations	Facilitating engine start
Facilitating engine start	Assisting engine start
Facilitating engine start	Initiating engine start
Facilitating engine start	Power supply for starting
Maintaining engine stability	Engine stability
Maintaining engine stability	Covering drives and providing housing
Maintaining engine stability	Securing and supporting alternator
Maintaining engine stability	Securing crankcase components
Maintaining engine stability	Supporting crankcase operation
Power Generation	Generating power
Generating power	Power output
Generating power	Converting linear to rotational motion
Generating power	Driving power to accessories
Generating power	Driving and timing components
Generating power	Housing main power components
Distributing ignition	Distributing ignition to cylinders
Distributing ignition	Distributing ignition and sparks
Distributing ignition	Ignition timing and distribution
Distributing ignition	Ignition timing
Distributing ignition	Ignition transfer
Distributing ignition	Proper ignition
Distributing ignition	Proper ignition timing
Distributing ignition	Proper ignition timing and distribution
Managing fuel-air mixture	Fuel delivery
Managing fuel-air mixture	Fuel distribution
Managing fuel-air mixture	Fuel-air mixture control
Managing fuel-air mixture	Distributing fuel-air mixture
Managing fuel-air mixture	Mixing and regulating fuel-air
Managing fuel-air mixture	Proper air-fuel mixture
Managing fuel-air mixture	Proper fuel type
Managing fuel-air mixture	Excessive fuel during start
Managing fuel-air mixture	Pumping fuel and securing components
Managing fuel-air mixture	Directing air-fuel mixture
Managing fuel-air mixture	Managing air-fuel mixture intake
Cylinder and Combustion Operations	Supporting combustion
Supporting combustion	Housing and supporting combustion
Supporting combustion	Containing cylinders and related parts
Supporting combustion	Supporting cylinder operation
Supporting combustion	Balanced cylinder compression
Supporting combustion	Proper cylinder sealing
Supporting combustion	Transmitting motion and sealing chamber
Supporting combustion	Proper air-fuel intake
Supporting combustion	Air-fuel intake control
Supporting combustion	Draining and cooling cylinders
Supporting combustion	Cylinder operation
Supporting combustion	Controlling intake and exhaust flow
Cooling and Lubrication	Cooling engine
Cooling engine	Proper engine cooling
Cooling engine	Proper cooling
Cooling engine	Cooling engine with airflow
Cooling engine	Air intake restriction
Cooling engine	Oil temperature regulation
Cooling engine	Measuring oil quantity
Cooling engine	Accurate temperature reading
Lubricating engine components	Adequate lubrication
Lubricating engine components	Proper lubrication
Lubricating engine components	Lubricating engine components
Lubricating engine components	Proper oil flow
Lubricating engine components	Proper oil pressure regulation
Lubricating engine components	Oil distribution
Lubricating engine components	Regulating oil flow and pressure
Lubricating engine components	Filtering oil and controlling flow
Lubricating engine components	Pumping oil and attaching housing
Lubricating engine components	Maintaining oil pressure
Lubricating engine components	Accurate oil pressure reading
Lubricating engine components	Collecting and screening oil
Lubricating engine components	Draining and cooling cylinders
Lubricating engine components	Excessive fuel during start
Lubricating engine components	Measuring oil quantity
Monitoring and Control	Ensuring smooth operation
Ensuring smooth operation	Core engine functionality
Ensuring smooth operation	Proper cooling
Ensuring smooth operation	Proper fuel type
Ensuring smooth operation	Smooth engine operation
Ensuring smooth operation	Supporting crankcase operation
Ensuring smooth operation	Cylinder operation
Ensuring smooth operation	Driving and timing components
Ensuring smooth operation	Housing main engine components
Ensuring smooth operation	Accurate temperature reading
Ensuring smooth operation	Accurate oil pressure reading